,century,word,count
1973,1800,leep,2
4342,1900,mid,2
1943,1800,instead,2
4415,1900,music,2
4416,1900,musk,2
1940,1800,infant,2
4727,1900,put,2
4419,1900,mustnt,2
4107,1900,languid,2
4399,1900,move,2
2491,1900,anguish,2
4339,1900,met,2
2536,1900,ascends,2
2086,1800,pale,2
4426,1900,mystery,2
1927,1800,how,2
2531,1900,arrows,2
4106,1900,landward,2
4413,1900,murmur,2
2076,1800,one,2
4105,1900,lands,2
1955,1800,kiss,2
2525,1900,army,2
4404,1900,mowther,2
4403,1900,moving,2
2070,1800,oak,2
1963,1800,land,2
1964,1800,large,2
4402,1900,moves,2
4401,1900,movement,2
2069,1800,nows,2
1969,1800,leaf,2
4400,1900,moved,2
1824,1800,find,2
2465,1900,alien,2
4297,1900,mare,2
2618,1900,beautiful,2
4556,1900,paint,2
4558,1900,pakenham,2
1700,1800,crews,2
1699,1800,creep,2
4139,1900,leap,2
2238,1800,spoke,2
2240,1800,spot,2
1706,1800,cunning,2
1692,1800,conquer,2
